Name,Image,Size,Weigh
Ouistempo,Ouistempo-EB.png,0.3,5.0
Badabouin,Badabouin-EB.png,0.7,14.0
Gorythmic,Gorythmic-EB.png,2.1,90.0
Flambino,Flambino-EB.png,0.3,4.5
Lapyro,Lapyro-EB.png,0.6,9.0
Pyrobut,Pyrobut-EB.png,1.4,33.0
Larméléon,Larméléon-EB.png,0.3,4.0
Arrozard,Arrozard-EB.png,0.7,11.5
Lézargus,Lézargus-EB.png,1.9,45.2
Larvadar,Larvadar-EB.png,0.4,8.0
Coléodôme,Coléodôme-EB.png,0.4,19.5
Astronelle,Astronelle-EB.png,0.4,40.8
Chenipan,Chenipan-RFVF.png,0.3,2.9
Chrysacier,Chrysacier-RFVF.png,0.7,9.9
Papilusion,Papilusion-RFVF.png,1.1,32.0
Larvibule,Larvibule-SL.png,0.4,4.4
Chrysapile,Chrysapile-SL.png,0.5,10.5
Lucanon,Lucanon-SL.png,1.5,45.0
Hoothoot,Hoothoot-RFVF.png,0.7,21.2
Noarfang,Noarfang-HGSS.png,1.6,40.8
Minisange,Minisange-EB.png,0.2,1.8
Bleuseille,Bleuseille-EB.png,0.8,16.0
Corvaillus,Corvaillus-EB.png,2.2,75.0
Rongourmand,Rongourmand-EB.png,0.3,2.5
Rongrigou,Rongrigou-EB.png,0.6,6.0
Poichigeon,Poichigeon-NB.png,0.3,2.1
Colombeau,Colombeau-NB.png,0.6,15.0
Déflaisan,Déflaisan_(Mâle)-NB.png,1.2,29.0
Goupilou,Goupilou-EB.png,0.6,8.9
Roublenard,Roublenard-EB.png,1.2,19.9
Zigzaton,Zigzaton-RS.png,0.4,17.5
Linéon,Linéon-RS.png,0.5,32.5
Ixon,Ixon-EB.png,1.6,46.0
Moumouton,Moumouton-EB.png,0.6,6.0
Moumouflon,Moumouflon-EB.png,1.3,43.0
Nénupiot,Nénupiot-RS.png,0.5,2.6
Lombre,Lombre-RS.png,1.2,32.5
Ludicolo,Ludicolo-RS.png,1.5,55.0
Grainipiot,Grainipiot-RS.png,0.5,4.0
Pifeuil,Pifeuil-RS.png,1.0,28.0
Tengalice,Tengalice-RS.png,1.3,59.6
Khélocrok,Khélocrok-EB.png,0.3,8.5
Torgamord,Torgamord-EB.png,1.0,115.5
Chacripan,Chacripan-NB.png,0.4,10.1
Léopardus,Léopardus-NB.png,1.1,37.5
Voltoutou,Voltoutou-EB.png,0.3,13.5
Fulgudog,Fulgudog-EB.png,1.0,34.0
Sapereau,Sapereau-XY.png,0.4,5.0
Excavarenne,Excavarenne-XY.png,1.0,42.4
Chinchidou,Chinchidou-NB.png,0.4,5.8
Pashmilla,Pashmilla-NB.png,0.5,7.5
Croquine,Croquine-SL.png,0.3,3.2
Candine,Candine-SL.png,0.7,8.2
Sucreine,Sucreine-SL.png,1.2,21.4
Mystherbe,Mystherbe-RFVF.png,0.5,5.4
Ortide,Ortide-RFVF.png,0.8,8.6
Rafflesia,Rafflesia-RFVF.png,1.2,18.6
Joliflor,Joliflor-RFVF.png,0.4,5.8
Rozbouton,Rozbouton-DP.png,0.2,1.2
Rosélia,Rosélia-RS.png,0.3,2.0
Roserade,Roserade-DP.png,0.9,14.5
Goélise,Goélise-RS.png,0.6,9.5
Bekipan,Bekipan-RS.png,1.2,28.0
Statitik,Statitik-NB.png,0.1,0.6
Mygavolt,Mygavolt-NB.png,0.8,14.3
Dynavolt,Dynavolt-RS.png,0.6,15.2
Élecsprint,Élecsprint-RS.png,1.5,40.2
Goupix,Goupix-RFVF.png,0.6,9.9
Feunard,Feunard-RFVF.png,1.1,19.9
Caninos,Caninos-RFVF.png,0.7,19.0
Arcanin,Arcanin-RFVF.png,1.9,155.0
Sorbébé,Sorbébé-NB.png,0.4,5.7
Sorboul,Sorboul-NB.png,1.1,41.0
Sorbouboul,Sorbouboul-NB.png,1.3,57.5
Marcacrin,Marcacrin-HGSS.png,0.4,6.5
Cochignon,Cochignon-HGSS.png,1.1,55.8
Mammochon,Mammochon-DP.png,2.5,291.0
Cadoizo,Cadoizo-HGSS.png,0.9,16.0
Stalgamin,Stalgamin-RS.png,0.7,16.8
Oniglali,Oniglali-RS.png,1.5,256.5
Momartik,Momartik-DP.png,1.3,26.6
Balbuto,Balbuto-RS.png,0.5,21.5
Kaorine,Kaorine-RS.png,1.5,108.0
Tiboudet,Tiboudet-SL.png,1.0,110.0
Bourrinos,Bourrinos-SL.png,2.5,920.0
Crabicoque,Crabicoque-NB.png,0.3,14.5
Crabaraque,Crabaraque-NB.png,1.4,200.0
Gringolem,Gringolem-NB.png,1.0,92.0
Golemastoc,Golemastoc-NB.png,2.8,330.0
Munna,Munna-NB.png,0.6,23.3
Mushana,Mushana-NB.png,1.1,60.5
Natu,Natu-HGSS.png,0.2,2.0
Xatu,Xatu-HGSS.png,1.5,15.0
Nounourson,Nounourson-SL.png,0.5,6.8
Chelours,Chelours-SL.png,2.1,135.0
Blizzi,Blizzi-DP.png,1.0,50.5
Blizzaroi,Blizzaroi-DP.png,2.2,135.5
Krabby,Krabby-RFVF.png,0.4,6.5
Krabboss,Krabboss-RFVF.png,1.3,60.0
Axoloto,Axoloto-HGSS.png,0.4,8.5
Maraiste,Maraiste-HGSS.png,1.4,75.0
Écrapince,Écrapince-RS.png,0.6,11.5
Colhomard,Colhomard-RS.png,1.1,32.8
Ningale,Ningale-RS.png,0.5,5.5
Ninjask,Ninjask-RS.png,0.8,12.0
Munja,Munja-RS.png,0.8,1.2
