Name,Competence1,Competence2,Competence3,Competence4
Bulbizarre,Charge,Rugissement,Plante,Poison
Herbizarre,Charge,Rugissement,Plante,Poison
Florizarre,Danse-Fleur,Charge,Plante,Poison
Salamèche,Griffe,Rugissement,Feu,Feu
Reptincel,Griffe,Rugissement,Feu,Feu
Dracaufeu,Cru-Aile,Dracogriffe,Feu,Vol
Carapuce,Charge,Mimi-Queue,Eau,Eau
Carabaffe,Charge,Mimi-Queue,Eau,Eau
Tortank,Luminocanon,Charge,Eau,Eau
Chenipan,Charge,Secretion,Insecte,Insecte
Chrysacier,Armure,Toile Elek,Insecte,Insecte
Papilusion,Tornade,Choc Mental,Insecte,Vol
Aspicot,Dard-Venin,Secretion,Insecte,Poison
Coconfort,Armure,Mur de Fer,Insecte,Poison
Dardargnan,Double-Dard,Furie,Insecte,Poison
Roucool,Charge,Jet de Sable,Normal,Vol
Roucoups,Charge,Jet de Sable,Normal,Vol
Roucarnage,Vent Violent,Charge,Normal,Vol
Rattata,Charge,Mimi-Queue,Normal,Normal
Rattatac,Grimace,Danse Lames,Normal,Normal
Piafabec,Picpic,Rugissement,Normal,Vol
Rapasdepic,Tunnelier,Picore,Normal,Vol
Abo,Ligotage,Groz'Yeux,Poison,Poison
Arbok,Machouille,Crocs Givre,Poison,Poison
Pikachu,Mimi-Queue,Eclair,Électrik,Électrik
Raichu,Eclair,Mimi-Queue,Électrik,Électrik
Sabelette,Griffe,Boul'Armure,Sol,Sol
Sablaireau,Eclate Griffe,Griffe,Sol,Sol
Nidoran♀,Rugissement,Griffe,Poison,Poison
Nidorina,Rugissement,Griffe,Poison,Poison
Nidoqueen,Surpuissance,Griffe,Poison,Sol
Nidoran♂,Groz'Yeux,Picpic,Poison,Poison
Nidorino,Groz'Yeux,Picpic,Poison,Poison
Nidoking,Megacorne,Picpic,Poison,Sol
Mélofée,Projecteur,Voix Enjoleuse,Fée,Fée
Mélodelfe,Projecteur,Voix Enjoleuse,Fée,Fée
Goupix,Flammeche,Mimi-Queue,Feu,Feu
Feunard,Possessif,Machination,Feu,Feu
Rondoudou,Berceuse,Boul'Armure,Fée,Normal
Grodoudou,Damocles,Calinerie,Fée,Normal
Nosferapti,Vol-Vie,Ultrason,Poison,Vol
Nosferalto,Grincement,Vol-Vie,Poison,Vol
Mystherbe,Vol-Vie,Croissance,Plante,Poison
Ortide,Vol-Vie,Croissance,Plante,Poison
Rafflesia,Mega-Sangsue,Aromatherapie,Plante,Poison
Paras,Griffe,Para-Spore,Insecte,Plante
Parasect,Poison-Croix,Griffe,Insecte,Plante
Mimitoss,Charge,Entrave,Insecte,Poison
Aéromite,Tornade,Papillodanse,Insecte,Poison
Taupiqueur,Jet de Sable,Griffe,Sol,Sol
Triopikeur,Tourbi-Sable,Fertilisation,Sol,Sol
Miaouss,Griffe,Rugissement,Normal,Normal
Persian,Meteores,Calinerie,Normal,Normal
Psykokwak,Tourniquet,Griffe,Eau,Eau
Akwakwak,Moi d'Abord,Aqua-Jet,Eau,Eau
Férosinge,Implore,Griffe,Combat,Combat
Colossinge,Frenesie,Tout ou Rien,Combat,Combat
Caninos,Morsure,Hurlement,Feu,Feu
Arcanin,Crocs Eclair,Morsure,Feu,Feu
Ptitard,Tourniquet,Pistolet a O,Eau,Eau
Têtarte,Tourniquet,Pistolet a O,Eau,Eau
Tartard,Sacrifice,Projection,Combat,Eau
Abra,Teleport,Choc Psy,Psy,Psy
Kadabra,Telekinesie,Teleport,Psy,Psy
Alakazam,Telekinesie,Teleport,Psy,Psy
Machoc,Balayage,Groz'Yeux,Combat,Combat
Machopeur,Balayage,Groz'Yeux,Combat,Combat
Mackogneur,Force,Garde Large,Combat,Combat
Chétiflor,Fouet Lianes,Croissance,Plante,Poison
Boustiflor,Fouet Lianes,Croissance,Plante,Poison
Empiflor,Phytomixeur,Stockage,Plante,Poison
Tentacool,Dard-Venin,Ultrason,Eau,Poison
