Name,Type1,Type2,PV,Vitesse,Attaque,Defense,Att_Spe,Def_Spe,Capture
Ouistempo,Plante,Plante,25,16,6,5,4,4,0
Badabouin,Plante,Plante,35,20,8,7,5,6,0
Gorythmic,Plante,Plante,50,21,12,9,6,7,0
Flambino,Feu,Feu,25,17,7,4,4,4,0
Lapyro,Feu,Feu,32,23,8,6,5,6,0
Pyrobut,Feu,Feu,40,29,11,7,6,7,0
Larméléon,Eau,Eau,25,17,4,4,7,4,0
Arrozard,Eau,Eau,32,22,6,5,9,5,0
Lézargus,Eau,Eau,35,30,8,6,12,6,0
Larvadar,Insecte,Insecte,12,11,2,2,2,4,5
Coléodôme,Insecte,Psy,25,7,3,8,5,9,2
Astronelle,Insecte,Psy,30,22,4,11,8,12,0
Chenipan,Insecte,Insecte,22,11,3,3,2,2,5
Chrysacier,Insecte,Insecte,25,7,2,5,2,2,2
Papilusion,Insecte,Vol,30,17,4,5,9,8,0
Larvibule,Insecte,Insecte,23,11,6,4,5,4,5
Chrysapile,Insecte,Electrik,28,9,8,9,5,7,2
Lucanon,Insecte,Electrik,38,10,7,9,14,7,0
Hoothoot,Normal,Vol,30,12,3,3,3,5,5
Noarfang,Normal,Vol,50,17,5,5,8,9,1
Minisange,Vol,Vol,19,14,4,3,3,3,5
Bleuseille,Vol,Vol,34,19,6,5,4,5,2
Corvaillus,Acier,Vol,49,16,8,10,5,8,0
Rongourmand,Normal,Normal,35,6,5,5,3,3,5
Rongrigou,Normal,Normal,60,5,9,9,5,7,1
Poichigeon,Normal,Vol,25,10,5,5,3,3,5
Colombeau,Normal,Vol,31,16,7,6,5,4,2
Déflaisan,Normal,Vol,40,23,10,8,6,5,0
Goupilou,Tenebres,Tenebres,20,12,2,2,4,5,5
Roublenard,Tenebres,Tenebres,35,22,5,5,8,9,2
Zigzaton,Normal,Normal,19,15,3,4,3,4,5
Linéon,Normal,Normal,39,25,7,6,5,6,1
Ixon,Normal,Tenebres,46,23,9,10,6,8,0
Moumouton,Normal,Normal,21,12,4,5,4,4,0
Moumouflon,Normal,Normal,36,22,8,10,6,9,0
Nénupiot,Eau,Plante,20,7,3,3,4,5,5
Lombre,Eau,Plante,30,12,5,5,6,7,2
Ludicolo,Eau,Plante,40,17,7,7,9,10,0
Grainipiot,Plante,Plante,20,7,4,5,3,3,5
Pifeuil,Plante,Tenebres,35,15,7,4,6,4,2
Tengalice,Plante,Tenebres,45,20,10,6,9,6,0
Khélocrok,Eau,Eau,25,11,6,5,3,3,5
Torgamord,Eau,Roche,45,18,11,9,4,6,1
Chacripan,Tenebres,Tenebres,20,16,5,3,5,3,5
Léopardus,Tenebres,Tenebres,32,26,8,5,8,5,1
Voltoutou,Electrik,Electrik,29,6,4,5,4,5,5
Fulgudog,Electrik,Electrik,34,30,9,6,9,6,0
Sapereau,Normal,Normal,19,14,3,3,3,3,5
Excavarenne,Normal,Sol,42,19,5,7,5,7,5
Chinchidou,Normal,Normal,27,18,5,4,4,4,5
Pashmilla,Normal,Normal,37,28,9,6,6,6,5
Croquine,Plante,Plante,21,8,3,3,3,3,4
Candine,Plante,Plante,26,15,4,4,4,4,2
Sucreine,Plante,Plante,36,18,12,9,5,9,0
Mystherbe,Plante,Poison,22,7,5,5,7,6,5
Ortide,Plante,Poison,30,10,6,7,8,7,2
Rafflesia,Plante,Poison,37,12,8,8,10,9,0
Joliflor,Plante,Plante,37,12,8,8,9,10,0
Rozbouton,Plante,Poison,20,13,3,3,5,7,5
Rosélia,Plante,Poison,25,16,6,4,10,8,3
Roserade,Plante,Poison,30,22,7,5,12,10,1
Goélise,Eau,Vol,20,21,3,3,5,3,3
Bekipan,Eau,Vol,30,16,5,10,8,7,0
Statitik,Insecte,Electrik,25,16,4,5,5,5,3
Mygavolt,Insecte,Electrik,35,27,7,6,9,6,1
Dynavolt,Electrik,Electrik,20,16,4,4,6,4,2
Élecsprint,Electrik,Electrik,35,26,7,6,10,6,0
Goupix,Feu,Feu,19,16,4,4,5,6,3
